Price,Close,High,Low,Open,Volume
Ticker,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD
Datetime,,,,,
2026-01-14 00:00:00+00:00,3323.836181640625,3331.83740234375,3314.248291015625,3323.263671875,0
2026-01-14 01:00:00+00:00,3333.3125,3339.455078125,3320.349365234375,3322.611572265625,601020416
2026-01-14 02:00:00+00:00,3323.0205078125,3353.076416015625,3319.72412109375,3334.2392578125,1277984768
2026-01-14 03:00:00+00:00,3347.151611328125,3347.151611328125,3319.907958984375,3324.3525390625,1420156928
2026-01-14 04:00:00+00:00,3336.825927734375,3353.72607421875,3335.028564453125,3350.321533203125,1087717376
2026-01-14 05:00:00+00:00,3328.727783203125,3336.98583984375,3324.91162109375,3336.98583984375,0
2026-01-14 06:00:00+00:00,3331.81640625,3333.682861328125,3321.410400390625,3328.762451171875,363354112
2026-01-14 07:00:00+00:00,3333.45849609375,3339.485595703125,3326.294677734375,3332.021240234375,530544640
2026-01-14 08:00:00+00:00,3326.9052734375,3340.239990234375,3325.834228515625,3333.4990234375,0
2026-01-14 09:00:00+00:00,3325.782470703125,3333.057861328125,3323.477294921875,3326.349853515625,0
2026-01-14 10:00:00+00:00,3312.41552734375,3330.967529296875,3307.1572265625,3326.150634765625,632317952
2026-01-14 11:00:00+00:00,3282.48046875,3311.28271484375,3282.48046875,3311.28271484375,720166912
2026-01-14 12:00:00+00:00,3294.65478515625,3296.26806640625,3281.7197265625,3283.47216796875,446111744
2026-01-14 13:00:00+00:00,3300.42333984375,3304.23876953125,3288.999267578125,3294.587646484375,0
2026-01-14 14:00:00+00:00,3348.0380859375,3354.71533203125,3300.95361328125,3301.250244140625,902152192
2026-01-14 15:00:00+00:00,3344.540771484375,3359.92041015625,3329.556884765625,3347.33447265625,1029189632
2026-01-14 16:00:00+00:00,3368.241455078125,3391.49755859375,3344.38037109375,3344.38037109375,13017088
2026-01-14 17:00:00+00:00,3341.46826171875,3379.2177734375,3339.24755859375,3369.7021484375,1170444288
2026-01-14 18:00:00+00:00,3340.9208984375,3350.39599609375,3316.77685546875,3342.084228515625,808841216
2026-01-14 19:00:00+00:00,3364.776611328125,3389.095947265625,3332.914794921875,3339.408447265625,990535680
2026-01-14 20:00:00+00:00,3378.23876953125,3388.77197265625,3363.504150390625,3366.543701171875,444137472
2026-01-14 21:00:00+00:00,3365.966796875,3382.112548828125,3361.466552734375,3382.112548828125,0
2026-01-14 22:00:00+00:00,3350.15673828125,3373.49951171875,3348.345947265625,3371.392822265625,0
2026-01-14 23:00:00+00:00,3354.6728515625,3367.3330078125,3349.730712890625,3349.730712890625,0
2026-01-15 00:00:00+00:00,3329.710693359375,3354.8271484375,3326.4169921875,3354.8271484375,0
2026-01-15 01:00:00+00:00,3323.15234375,3341.498779296875,3320.203857421875,3330.309326171875,0
2026-01-15 02:00:00+00:00,3312.302001953125,3330.87841796875,3309.167236328125,3325.100830078125,0
2026-01-15 03:00:00+00:00,3286.70849609375,3318.31884765625,3278.92138671875,3313.258056640625,780580864
2026-01-15 04:00:00+00:00,3302.476318359375,3306.750732421875,3284.047119140625,3285.3779296875,0
2026-01-15 05:00:00+00:00,3311.52392578125,3313.668212890625,3302.87451171875,3302.87451171875,0
2026-01-15 06:00:00+00:00,3315.8935546875,3320.888427734375,3310.953369140625,3311.378662109375,0
2026-01-15 07:00:00+00:00,3327.466552734375,3333.174072265625,3314.297607421875,3315.7568359375,0
2026-01-15 08:00:00+00:00,3335.689453125,3336.114990234375,3320.2548828125,3328.045166015625,24438784
2026-01-15 09:00:00+00:00,3367.17333984375,3370.601318359375,3330.1318359375,3335.68701171875,297091072
2026-01-15 10:00:00+00:00,3363.36865234375,3372.6865234375,3357.450927734375,3364.95166015625,149446656
2026-01-15 11:00:00+00:00,3349.6767578125,3363.7919921875,3347.335205078125,3363.33544921875,0
2026-01-15 12:00:00+00:00,3368.1640625,3368.1640625,3343.987060546875,3348.79638671875,0
2026-01-15 13:00:00+00:00,3370.486572265625,3381.73095703125,3357.959716796875,3368.348388671875,185370624
2026-01-15 14:00:00+00:00,3340.79736328125,3379.977783203125,3324.467529296875,3369.9853515625,0
2026-01-15 15:00:00+00:00,3316.739990234375,3353.060546875,3286.486083984375,3341.322998046875,0
2026-01-15 16:00:00+00:00,3332.88818359375,3332.88818359375,3311.095947265625,3327.807373046875,0
