Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2026-01-14 00:00:00+00:00,95277.7734375,95539.734375,95143.6796875,95363.3046875,0
2026-01-14 01:00:00+00:00,95266.8515625,95495.0,95111.1875,95185.6796875,671092736
2026-01-14 02:00:00+00:00,95279.2109375,95490.609375,95180.5078125,95205.578125,1220997120
2026-01-14 03:00:00+00:00,95630.9765625,95632.609375,95249.203125,95272.1953125,2407698432
2026-01-14 04:00:00+00:00,95202.515625,95694.421875,95182.9765625,95694.421875,786616320
2026-01-14 05:00:00+00:00,94988.1640625,95204.1328125,94934.296875,95191.1328125,0
2026-01-14 06:00:00+00:00,94976.859375,94976.859375,94583.046875,94970.9765625,591003648
2026-01-14 07:00:00+00:00,95176.1328125,95176.1328125,94840.03125,94985.765625,408600576
2026-01-14 08:00:00+00:00,94868.3046875,95231.53125,94860.3125,95162.828125,0
2026-01-14 09:00:00+00:00,95038.109375,95131.5234375,94849.390625,94852.8203125,0
2026-01-14 10:00:00+00:00,95059.109375,95213.5859375,94870.0546875,95051.1640625,346828800
2026-01-14 11:00:00+00:00,94706.0078125,95042.125,94706.0078125,95042.125,0
2026-01-14 12:00:00+00:00,95031.6484375,95102.671875,94701.1328125,94727.6953125,1391976448
2026-01-14 13:00:00+00:00,94937.046875,95183.5625,94861.1015625,95028.859375,0
2026-01-14 14:00:00+00:00,96460.421875,96734.7109375,94951.84375,94958.4921875,1887080448
2026-01-14 15:00:00+00:00,96710.59375,96984.578125,96232.4453125,96450.109375,2725945344
2026-01-14 16:00:00+00:00,97212.4921875,97566.859375,96699.578125,96699.578125,888070144
2026-01-14 17:00:00+00:00,96941.90625,97747.125,96894.046875,97245.53125,3065225216
2026-01-14 18:00:00+00:00,96835.984375,97086.8515625,96295.0625,96953.8359375,649310208
2026-01-14 19:00:00+00:00,97274.1875,97519.5234375,96694.8359375,96801.8359375,305246208
2026-01-14 20:00:00+00:00,97585.109375,97860.6015625,97221.5078125,97244.59375,0
2026-01-14 21:00:00+00:00,97443.15625,97686.171875,97409.546875,97641.6953125,0
2026-01-14 22:00:00+00:00,96915.5625,97542.9453125,96832.3359375,97528.46875,0
2026-01-14 23:00:00+00:00,96932.2109375,97324.4453125,96894.984375,96894.984375,0
2026-01-15 00:00:00+00:00,96573.6328125,96973.4609375,96508.34375,96934.609375,0
2026-01-15 01:00:00+00:00,96418.140625,96928.6328125,96310.796875,96614.0703125,72564736
